job_grouped,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,nr_employed,y,date,latitude,longitude,id_,year,age_iterative,euribor3m_iterative,Income,Kid_Home,Teen_Home,Dt_Customer,Num_Web_Visits_Month,Join_Year,Customer_tenure_days,Customer_tenure_years,High_web_visit_flag,Web_engagement_score,Web_visit_intensity,Tenure_vs_campaign_effort,duration_norm,Engagement_score_total,Overall_interaction_score,Contact_effort_ratio,Avg_duration_per_contact,Web_activity_per_contact
manual,married,,,0.0,0.0,telephone,55,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2015-11-30,43.616,-90.902,8d700df5-0c33-4517-8cf8-92e1c92c9c12,2015,41.0,4.9,92882,1,1,2012-01-05,9,2012,1425.0,3.904109589041096,0,0.25806451612903225,2.305263157894737,0.256140350877193,0.011183407889385929,0.2692479240184182,0.5253882748956111,1.0,55.0,9.0
technical,single,high school,0.0,1.0,0.0,telephone,222,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-04-17,49.118,-85.121,ca5c0d7a-8bbd-42b3-8351-1074c5be011a,2016,25.0,3.3967174483899,84813,0,1,2012-06-06,30,2012,1411.0,3.8657534246575342,1,0.9354838709677419,7.76045357902197,0.258681785967399,0.04514030093533957,0.9806241719030815,1.2393059578704806,1.0,222.0,30.0
manual,single,high school,0.0,0.0,1.0,telephone,137,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-06-14,30.047,-112.472,66a752e2-b2f1-440c-9a8f-cc3b10d74dd0,2016,29.0,4.9,102006,0,1,2012-03-24,18,2012,1543.0,4.227397260273973,0,0.5483870967741935,4.257939079714841,0.23655217109526894,0.027856852379015862,0.5762439491532094,0.8127961202484784,1.0,137.0,18.0
manual,divorced,basic 4y,0.0,1.0,0.0,telephone,293,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2015-08-25,28.873,-70.852,54b1ea8a-a909-45d9-9562-775b64ac9c29,2015,57.0,4.9,140801,2,1,2012-02-11,32,2012,1291.0,3.536986301369863,1,1.0,9.047250193648335,0.28272656855151046,0.05957706384709231,1.0595770638470923,1.3423036323986026,1.0,293.0,32.0
manual,married,basic 6y,0.0,1.0,0.0,telephone,146,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-09-19,36.188,-109.835,3a7b7570-aba9-40bc-9f80-3433d064b5b7,2016,35.0,4.9,73262,2,2,2012-09-10,27,2012,1470.0,4.027397260273973,1,0.8387096774193549,6.704081632653061,0.24829931972789115,0.029686864579097194,0.8683965419984521,1.1166958617263432,1.0,146.0,27.0
not_working,married,basic 9y,,1.0,1.0,telephone,174,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-01-03,41.311,-75.496,c93f0774-c122-421b-ac44-2041dcc43609,2016,54.0,4.9,117422,1,2,2012-04-05,15,2012,1368.0,3.747945205479452,0,0.45161290322580644,4.00219298245614,0.266812865497076,0.03538023586823912,0.48699313909404557,0.7538060045911216,1.0,174.0,15.0
manual,married,basic 6y,0.0,1.0,0.0,telephone,312,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2018-02-28,39.867,-91.016,8f63b4b2-6190-4fbe-a041-b0c472c596c7,2018,35.0,3.562728201025534,70235,1,1,2012-03-11,27,2012,2180.0,5.972602739726027,1,0.8387096774193549,4.520642201834862,0.16743119266055045,0.0634404229361529,0.9021501003555078,1.0695812930160582,1.0,312.0,27.0
manual,married,basic 6y,,1.0,1.0,telephone,440,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-03-29,31.284,-76.228,714f78d0-c23e-40ff-b892-bfeacc4223f8,2019,40.27111076831546,4.9,106688,1,1,2012-01-22,5,2012,2623.0,7.186301369863013,0,0.12903225806451613,0.6957682043461686,0.1391536408692337,0.08946726311508743,0.21849952117960356,0.35765316204883724,1.0,440.0,5.0
manual,married,basic 9y,0.0,1.0,1.0,telephone,353,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2018-10-25,39.231,-100.643,4b568fd1-8690-48a4-a1e5-7497bb533047,2018,50.0,4.9,99745,2,2,2012-12-11,20,2012,2144.0,5.873972602739726,0,0.6129032258064516,3.404850746268657,0.17024253731343283,0.07177714518096787,0.6846803709874195,0.8549229083008524,1.0,353.0,20.0
management,single,basic 9y,,0.0,0.0,telephone,195,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2017-07-01,27.284,-69.955,74bf1569-4bdb-49e4-98ba-c1c607d90596,2017,39.0,3.6291325020797873,173275,2,0,2012-04-17,26,2012,1901.0,5.208219178082191,1,0.8064516129032258,4.992109416096792,0.19200420831141507,0.03965026433509557,0.8461018772383213,1.0381060855497364,1.0,195.0,26.0
not_working,married,high school,0.0,0.0,0.0,telephone,38,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2017-04-20,43.783,-70.925,e9170af6-b4f8-4700-b954-836f94372fd8,2017,30.0,4.9,32331,1,2,2012-02-27,28,2012,1879.0,5.147945205479452,1,0.8709677419354839,5.43906333155934,0.194252261841405,0.0077267181781211875,0.8786944601136051,1.0729467219550102,1.0,38.0,28.0
manual,married,basic 4y,,1.0,0.0,telephone,262,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-08-11,25.892,-92.643,47591c83-e88b-40c2-bb8e-de40b94a44cb,2016,55.0,4.9,158116,0,2,2012-10-08,21,2012,1403.0,3.8438356164383563,0,0.6451612903225806,5.463292943692088,0.2601568068424804,0.05327368849125661,0.6984349788138372,0.9585917856563175,1.0,262.0,21.0
not_working,single,high school,0.0,1.0,0.0,telephone,342,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-12-24,35.978,-122.628,1c85ef8a-60a1-424d-804c-f712ccd612cc,2019,55.0,4.9,38474,0,0,2012-03-20,2,2012,2835.0,7.767123287671233,0,0.03225806451612903,0.25749559082892415,0.12874779541446207,0.06954046360309069,0.10179852811921972,0.2305463235336818,1.0,342.0,2.0
technical,single,high school,0.0,1.0,0.0,telephone,181,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2015-06-10,37.337,-90.915,f480284a-908b-4575-9ce5-28b396d54e36,2015,40.27111076831546,4.9,179682,2,0,2012-09-26,17,2012,987.0,2.7041095890410958,0,0.5161290322580645,6.286727456940223,0.369807497467072,0.036803578690524606,0.5529326109485891,0.9227401084156611,1.0,181.0,17.0
administrative,married,high school,0.0,1.0,0.0,telephone,172,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2017-05-19,39.448,-92.851,2a14bcd3-a981-45c2-ac76-79323567627c,2017,37.0,4.9,49728,1,2,2012-02-07,12,2012,1928.0,5.282191780821917,0,0.3548387096774194,2.2717842323651456,0.18931535269709546,0.03497356649044327,0.3898122761678626,0.579127628864958,1.0,172.0,12.0
technical,married,university degree,0.0,0.0,1.0,telephone,99,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2018-03-19,46.594,-78.17,c298253f-fcd6-45cb-a6b0-9815ec3e7c13,2018,35.0,3.562728201025534,176324,1,0,2012-04-04,1,2012,2175.0,5.958904109589041,0,0.0,0.16781609195402297,0.16781609195402297,0.020130134200894673,0.020130134200894673,0.18794622615491766,1.0,99.0,1.0
technical,married,,0.0,1.0,0.0,telephone,93,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-09-25,44.446,-74.218,cbf9c247-762f-40f9-a351-a7e686ac7488,2016,40.27111076831546,4.9,104766,0,2,2012-12-19,32,2012,1376.0,3.76986301369863,1,1.0,8.488372093023255,0.2652616279069767,0.018910126067507117,1.018910126067507,1.284171753974484,1.0,93.0,32.0
management,married,basic 9y,,0.0,0.0,telephone,233,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-11-23,43.028,-96.627,b4861606-8206-4f41-acd5-63b48d5596a1,2016,39.0,4.9,118851,0,2,2012-02-08,30,2012,1750.0,4.794520547945205,1,0.9354838709677419,6.257142857142858,0.20857142857142857,0.04737698251321675,0.9828608534809586,1.1914322820523873,1.0,233.0,30.0
technical,single,university degree,,0.0,0.0,telephone,255,2,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-12-05,30.242,-67.276,f52b8aff-2bab-496e-9b18-95925894c0ed,2016,54.0,3.8781486310332385,54609,1,1,2012-01-08,25,2012,1793.0,4.912328767123288,0,0.7741935483870968,5.089235917456776,0.4071388733965421,0.05185034566897113,0.8260438940560679,1.2331827674526101,2.0,127.5,12.5
,married,university degree,,,,telephone,362,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2015-07-01,47.472,-87.614,943bc97d-2618-4ba3-b2dc-5a3d1571446a,2015,55.0,4.9,75488,1,1,2012-08-30,26,2012,1035.0,2.835616438356164,1,0.8064516129032258,9.169082125603865,0.3526570048309179,0.07360715738104921,0.8800587702842749,1.2327157751151927,1.0,362.0,26.0
administrative,married,,0.0,0.0,0.0,telephone,348,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-12-20,46.952,-97.482,61bec99d-c1d2-4231-aa6a-37a002c9af42,2019,46.0,3.745340028924731,172888,1,2,2012-11-01,10,2012,2605.0,7.136986301369863,0,0.2903225806451613,1.401151631477927,0.1401151631477927,0.07076047173647824,0.36108305238163957,0.5011982155294323,1.0,348.0,10.0
technical,married,,0.0,1.0,0.0,telephone,386,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-04-14,27.676,-74.451,9eaba08c-51a8-477f-93b6-ad65fb0b6f03,2019,59.0,3.9611540073510554,90838,1,0,2012-05-10,7,2012,2530.0,6.931506849315069,0,0.1935483870967742,1.0098814229249011,0.1442687747035573,0.07848718991459944,0.2720355770113736,0.4163043517149309,1.0,386.0,7.0
manual,married,,0.0,0.0,0.0,telephone,73,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-01-04,49.316,-91.441,69cb4917-d4e6-456f-a840-c5c411bac44c,2019,49.0,4.9,20361,2,0,2012-11-14,32,2012,2242.0,6.142465753424657,1,1.0,5.209634255129349,0.16280107047279216,0.014843432289548597,1.0148434322895485,1.1776445027623408,1.0,73.0,32.0
management,married,basic 4y,,1.0,0.0,telephone,230,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-10-05,48.792,-87.676,a028192c-3c95-4935-aa95-06515e5fd38d,2019,54.0,4.9,128876,0,2,2012-10-06,1,2012,2555.0,7.0,0,0.0,0.14285714285714285,0.14285714285714285,0.04676697844652298,0.04676697844652298,0.18962412130366582,1.0,230.0,1.0
manual,divorced,basic 4y,0.0,0.0,0.0,telephone,208,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-12-18,47.015,-88.913,ebf703d5-d980-47bc-a8eb-6de16260483f,2019,40.27111076831546,4.9,121937,2,2,2012-10-29,21,2012,2606.0,7.13972602739726,0,0.6451612903225806,2.941289332310054,0.14006139677666923,0.0422936152907686,0.6874549056133492,0.8275163023900185,1.0,208.0,21.0
,married,basic 4y,,1.0,0.0,telephone,336,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2018-02-11,49.107,-116.582,7aeeda6f-95df-402b-a8d8-817764f4dafe,2018,55.0,3.8947497062968015,73868,1,1,2012-02-29,14,2012,2174.0,5.956164383561644,0,0.41935483870967744,2.3505059797608094,0.16789328426862926,0.06832045546970313,0.48767529417938055,0.6555685784480099,1.0,336.0,14.0
technical,married,high school,0.0,0.0,0.0,telephone,365,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-10-17,46.714,-103.715,7c50f0e5-8fb1-41f3-a18a-20bd5fc9a3d9,2019,34.0,3.5461271257619704,83851,1,1,2012-10-18,12,2012,2555.0,7.0,0,0.3548387096774194,1.7142857142857142,0.14285714285714285,0.07421716144774299,0.42905587112516236,0.5719130139823052,1.0,365.0,12.0
technical,married,basic 9y,0.0,1.0,0.0,telephone,1666,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2015-12-11,29.214,-87.396,a7eb98b2-0163-4375-a6a5-40b5f2ce6428,2015,52.0,4.9,71669,2,2,2012-04-16,26,2012,1334.0,3.654794520547945,1,0.8064516129032258,7.113943028485758,0.27361319340329837,0.3387555917039447,1.1452072046071704,1.4188203980104688,1.0,1666.0,26.0
administrative,married,university degree,0.0,1.0,0.0,telephone,577,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-04-26,24.874,-107.27,a9280a68-5b1e-448c-98c9-271eba3e4a30,2019,41.0,4.9,50412,0,0,2012-05-05,2,2012,2547.0,6.978082191780822,0,0.03225806451612903,0.2866117000392619,0.14330585001963095,0.11732411549410329,0.14958218001023232,0.2928880300298633,1.0,577.0,2.0
technical,married,basic 4y,0.0,1.0,0.0,telephone,137,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2017-04-23,36.539,-70.595,b1d3e69b-43f5-4983-ba00-37dcc3979e84,2017,56.0,4.9,35940,1,0,2012-11-15,15,2012,1620.0,4.438356164383562,0,0.45161290322580644,3.3796296296296298,0.22530864197530864,0.027856852379015862,0.4794697556048223,0.7047783975801309,1.0,137.0,15.0
management,,university degree,0.0,1.0,0.0,telephone,366,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2015-09-15,25.841,-83.067,e03dc123-10b3-42f2-9d18-c26a53c7a473,2015,58.0,4.9,131696,2,0,2012-12-23,3,2012,996.0,2.728767123287671,0,0.06451612903225806,1.099397590361446,0.36646586345381527,0.07442049613664091,0.138936625168899,0.5054024886227142,1.0,366.0,3.0
management,married,high school,0.0,1.0,0.0,telephone,314,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2018-12-29,33.876,-117.423,41f0832d-fea4-47dc-81c3-ad5a528a2fb7,2018,32.0,4.9,55182,2,0,2012-11-20,7,2012,2230.0,6.109589041095891,0,0.1935483870967742,1.1457399103139012,0.16367713004484305,0.06384709231394876,0.25739547941072294,0.421072609455566,1.0,314.0,7.0
administrative,single,professional course,0.0,0.0,0.0,telephone,160,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2015-03-12,45.8,-93.786,dd9279a9-2d85-4f87-b87b-560f5224d46a,2015,38.0,4.9,170859,2,2,2012-04-11,28,2012,1065.0,2.9178082191780823,1,0.8709677419354839,9.596244131455398,0.3427230046948357,0.032533550223668155,0.903501292159152,1.2462242968539876,1.0,160.0,28.0
administrative,married,university degree,0.0,0.0,1.0,telephone,212,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-06-06,24.925,-92.686,45576313-a078-48e8-803c-b5fec072ee53,2019,40.27111076831546,4.9,65477,0,0,2012-09-10,24,2012,2460.0,6.739726027397261,0,0.7419354838709677,3.5609756097560976,0.1483739837398374,0.04310695404636031,0.7850424379173281,0.9334164216571654,1.0,212.0,24.0
administrative,married,university degree,,1.0,0.0,telephone,188,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2015-01-05,37.511,-94.109,f2e69637-04fb-4d2d-813e-b15e061776e9,2015,44.0,4.9,122815,2,1,2012-05-14,28,2012,966.0,2.6465753424657534,1,0.8709677419354839,10.579710144927537,0.3778467908902691,0.03822692151281008,0.9091946634482939,1.287041454338563,1.0,188.0,28.0
technical,single,professional course,,0.0,0.0,telephone,22,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2017-01-08,42.145,-108.433,01d47e8f-32e7-4fd8-8188-2761a09f42bb,2017,42.0,4.9,52087,0,2,2012-03-09,13,2012,1766.0,4.838356164383562,0,0.3870967741935484,2.686862967157418,0.20668176670441674,0.004473363155754371,0.39157013734930274,0.5982519040537195,1.0,22.0,13.0
administrative,married,university degree,0.0,1.0,1.0,telephone,616,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-10-15,33.318,-77.7,170ae51e-abde-4832-a157-f1bf0f630e83,2016,57.0,4.9,136434,1,1,2012-07-03,3,2012,1565.0,4.287671232876712,0,0.06451612903225806,0.6996805111821086,0.23322683706070288,0.1252541683611224,0.18977029739338047,0.4229971344540834,1.0,616.0,3.0
manual,married,basic 9y,0.0,0.0,1.0,telephone,178,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2017-08-15,36.269,-117.853,6beb1eea-2343-42c1-9881-378c64cf08e5,2017,40.0,3.645733577343351,48855,2,1,2012-08-21,11,2012,1820.0,4.986301369863014,0,0.3225806451612903,2.2060439560439558,0.20054945054945053,0.036193574623830826,0.35877421978512114,0.5593236703345716,1.0,178.0,11.0
administrative,married,university degree,0.0,1.0,0.0,telephone,355,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2015-12-19,27.521,-88.316,6155f7ed-fc77-4de5-8f66-386c9a85d74a,2015,35.0,3.562728201025534,14091,1,2,2012-03-23,15,2012,1366.0,3.7424657534246575,0,0.45161290322580644,4.008052708638361,0.26720351390922403,0.07218381455876373,0.5237967177845702,0.7910002316937942,1.0,355.0,15.0
manual,married,basic 9y,0.0,1.0,0.0,telephone,225,2,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2018-05-15,47.71,-91.255,652ef647-2ee2-4afd-8cd1-105ff08b9dfb,2018,45.0,4.9,49376,1,2,2012-11-21,18,2012,2001.0,5.482191780821918,0,0.5483870967741935,3.2833583208395805,0.36481759120439783,0.045750305002033344,0.5941374017762269,0.9589549929806247,2.0,112.5,9.0
administrative,married,high school,0.0,0.0,0.0,telephone,160,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-05-23,25.729,-90.585,89d515a3-7191-4a7c-b166-692bd3eb0e2e,2019,54.0,4.9,141524,1,2,2012-01-10,32,2012,2690.0,7.36986301369863,1,1.0,4.342007434944238,0.13568773234200743,0.032533550223668155,1.032533550223668,1.1682212825656755,1.0,160.0,32.0
manual,married,basic 4y,0.0,0.0,1.0,telephone,266,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2015-10-02,24.802,-71.158,d43355a7-b518-46f4-8713-b9daba3e586f,2015,39.0,3.6291325020797873,139751,0,2,2012-06-23,15,2012,1196.0,3.276712328767123,0,0.45161290322580644,4.577759197324415,0.30518394648829433,0.054087027246848315,0.5056999304726547,0.810883876960949,1.0,266.0,15.0
administrative,married,high school,0.0,0.0,0.0,telephone,253,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2019-07-20,24.541,-83.412,b575bf38-fde5-4980-a253-e5d2a7c6622d,2019,60.0,3.977755082614619,175358,2,1,2012-07-27,8,2012,2549.0,6.983561643835617,0,0.22580645161290322,1.145547273440565,0.14319340918007062,0.05144367629117527,0.2772501279040785,0.4204435370841491,1.0,253.0,8.0
administrative,single,professional course,0.0,0.0,0.0,telephone,179,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-10-22,44.802,-106.795,fc488ebf-de25-4108-a5e0-881010bcb6db,2016,39.559022496750885,3.638412876622374,43378,1,0,2012-01-13,14,2012,1744.0,4.778082191780822,0,0.41935483870967744,2.930045871559633,0.20928899082568808,0.03639690931272875,0.4557517480224062,0.6650407388480943,1.0,179.0,14.0
manual,married,basic 4y,,0.0,0.0,telephone,269,2,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-07-24,33.009,-115.68,a53d19c6-cc04-4e56-936c-2af714cb0691,2016,55.0,4.9,171806,2,1,2012-04-01,26,2012,1575.0,4.315068493150685,1,0.8064516129032258,6.025396825396825,0.4634920634920635,0.05469703131354209,0.8611486442167678,1.3246407077088314,2.0,134.5,13.0
technical,married,professional course,,1.0,0.0,telephone,135,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2017-02-04,34.004,-99.004,b49bf23e-16c4-4e10-8bad-cff8277af141,2017,40.27111076831546,4.9,82735,2,1,2012-09-15,5,2012,1603.0,4.391780821917808,0,0.12903225806451613,1.1384903306300687,0.22769806612601373,0.02745018300122001,0.15648244106573614,0.3841805071917499,1.0,135.0,5.0
management,married,university degree,,0.0,1.0,telephone,161,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2018-12-03,45.639,-90.524,3cd59535-e982-46ec-8bdb-5540b42f98c7,2018,50.0,3.8117443299789846,21488,1,2,2012-07-13,29,2012,2334.0,6.394520547945206,1,0.9032258064516129,4.535132819194516,0.15638389031705227,0.032736884912566086,0.935962691364179,1.0923465816812312,1.0,161.0,29.0
technical,married,high school,,1.0,0.0,telephone,787,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2018-11-16,44.358,-88.987,b9e57bd9-32b6-48db-be0b-399968bb4458,2018,45.0,4.9,165897,1,2,2012-11-28,3,2012,2179.0,5.96986301369863,0,0.06451612903225806,0.5025240936209271,0.1675080312069757,0.16002440016266775,0.22454052919492581,0.3920485604019015,1.0,787.0,3.0
not_working,married,professional course,,1.0,1.0,telephone,145,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2018-08-08,32.791,-93.839,c70bda4e-ab87-48ad-a248-c654a465ba18,2018,55.0,4.9,20845,2,2,2012-09-27,1,2012,2141.0,5.865753424657535,0,0.0,0.17048108360579167,0.17048108360579167,0.029483529890199266,0.029483529890199266,0.19996461349599093,1.0,145.0,1.0
technical,single,university degree,0.0,1.0,0.0,telephone,174,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2018-11-22,25.291,-113.185,df2754f0-ab9d-4392-969f-255be30bcf95,2018,25.0,3.3967174483899,42782,0,1,2012-05-14,15,2012,2383.0,6.528767123287671,0,0.45161290322580644,2.297524129248846,0.1531682752832564,0.03538023586823912,0.48699313909404557,0.640161414377302,1.0,174.0,15.0
management,married,university degree,,0.0,0.0,telephone,449,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2016-01-13,24.665,-117.482,4c4427bf-a4b4-4127-a461-a0db67bb5508,2016,40.27111076831546,4.9,140136,2,2,2012-07-18,14,2012,1274.0,3.4904109589041097,0,0.41935483870967744,4.010989010989011,0.28649921507064363,0.09129727531516876,0.5106521140248462,0.7971513290954899,1.0,449.0,14.0
manual,married,basic 9y,0.0,1.0,0.0,telephone,812,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2015-04-15,46.189,-86.233,356fc69e-a248-4af2-ae28-c2c8d3aa779d,2015,51.0,4.9,76853,2,0,2012-11-12,23,2012,884.0,2.421917808219178,0,0.7096774193548387,9.49660633484163,0.41289592760181,0.1651077673851159,0.8747851867399546,1.2876811143417646,1.0,812.0,23.0
manual,married,basic 6y,,1.0,0.0,telephone,164,1,999,0,nonexistent,1.1,94.0,-36.4,5191,no,2018-10-08,25.975,-93.643,7d2ddb31-a03d-45cf-8fdc-b35e6bbda707,2018,40.27111076831546,4.9,61337,0,1,2012-02-24,7,2012,2418.0,6.624657534246575,0,0.1935483870967742,1.0566583953680728,0.15095119933829612,0.03334688897925986,0.22689527607603405,0.37784647541433014,1.0,164.0,7.0
